dataset,idx_global,is_filtrada,k,percentil_dist,percentil_densidad,percentil_entropia,criterio_pureza,modo_espacial,radio_densidad,riesgo,densidad,entropia,proporcion_min,pasa_pureza,pasa_densidad,umbral_entropia,umbral_densidad,vecinos_all,dist_all,vecinos_min,dist_min,vecinos_validos_por_percentil,thr_dist_percentil,synthetics_from_this_seed,last_delta,last_neighbor_z,timestamp,clase_objetivo
shuttle,16557,False,5,75.0,75.0,,proporcion,2d,1.0,0.0,1.0,,1.0,False,True,,1.0,"[36917, 36018, 10856, 34309, 46332]",,"[36917, 36018, 10856, 34309, 46332]",,4,0.13695105429483825,0,,,2025-09-29T00:37:06.817912,2
shuttle,16661,True,5,75.0,75.0,,proporcion,2d,1.0,0.6,1.0,,0.4,True,True,,1.0,"[2054, 9715, 16878, 2810, 7783]",,"[2054, 9715, 33699, 21711, 15756]",,4,0.42556225711296986,4166,0.32427075520713033,2810.0,2025-09-29T00:37:06.817912,2
shuttle,18755,False,5,75.0,75.0,,proporcion,2d,1.0,0.0,1.0,,1.0,False,True,,1.0,"[2425, 11236, 26510, 12871, 42381]",,"[2425, 11236, 26510, 12871, 42381]",,4,0.28962308024033634,0,,,2025-09-29T00:37:06.817912,2
shuttle,21018,False,5,75.0,75.0,,proporcion,2d,1.0,0.0,1.0,,1.0,False,True,,1.0,"[31077, 16514, 42037, 4958, 45985]",,"[31077, 16514, 42037, 4958, 45985]",,4,0.4408388516270015,0,,,2025-09-29T00:37:06.817912,2
shuttle,21711,False,5,75.0,75.0,,proporcion,2d,1.0,0.0,1.0,,1.0,False,True,,1.0,"[11109, 28748, 10856, 36018, 16557]",,"[11109, 28748, 10856, 36018, 16557]",,4,0.3206033209276892,0,,,2025-09-29T00:37:06.817912,2
shuttle,23144,False,5,75.0,75.0,,proporcion,2d,1.0,0.2,1.0,,0.8,False,True,,1.0,"[42565, 37322, 15756, 33699, 19192]",,"[42565, 37322, 15756, 33699, 21711]",,4,0.2634417094649253,0,,,2025-09-29T00:37:06.817912,2
shuttle,24212,False,5,75.0,75.0,,proporcion,2d,1.0,0.8,1.0,,0.2,False,True,,1.0,"[25405, 23631, 12654, 19532, 37015]",,"[25405, 8582, 7384, 166, 12871]",,4,0.4441091999097229,0,,,2025-09-29T00:37:06.817912,2
shuttle,25405,True,5,75.0,75.0,,proporcion,2d,1.0,0.4,1.0,,0.6,True,True,,1.0,"[24212, 8582, 7384, 23631, 12654]",,"[24212, 8582, 7384, 166, 12871]",,4,0.5310839565701371,4106,0.7070136300524908,23631.0,2025-09-29T00:37:06.818481,2
shuttle,26510,True,5,75.0,75.0,,proporcion,2d,1.0,0.4,1.0,,0.6,True,True,,1.0,"[11236, 2425, 18755, 18842, 5720]",,"[11236, 2425, 18755, 12871, 42381]",,4,0.3556417095242012,4157,0.7153112330323594,18755.0,2025-09-29T00:37:06.818481,2
shuttle,26627,False,5,75.0,75.0,,proporcion,2d,1.0,0.0,1.0,,1.0,False,True,,1.0,"[31905, 4958, 42037, 16514, 21018]",,"[31905, 4958, 42037, 16514, 21018]",,4,0.3146288981222372,0,,,2025-09-29T00:37:06.818481,2
shuttle,26873,True,5,75.0,75.0,,proporcion,2d,1.0,0.4,1.0,,0.6,True,True,,1.0,"[44873, 12374, 45985, 2331, 6138]",,"[44873, 12374, 45985, 31077, 21018]",,4,0.8527788249225203,4231,0.6966251314255869,44873.0,2025-09-29T00:37:06.818481,2
shuttle,28748,False,5,75.0,75.0,,proporcion,2d,1.0,0.0,1.0,,1.0,False,True,,1.0,"[11109, 21711, 10856, 36018, 16557]",,"[11109, 21711, 10856, 36018, 16557]",,4,0.20311264161854095,0,,,2025-09-29T00:37:06.818481,2
shuttle,31077,False,5,75.0,75.0,,proporcion,2d,1.0,0.0,1.0,,1.0,False,True,,1.0,"[21018, 45985, 16514, 12374, 42037]",,"[21018, 45985, 16514, 12374, 42037]",,4,0.47989743258634654,0,,,2025-09-29T00:37:06.818481,2
shuttle,31905,False,5,75.0,75.0,,proporcion,2d,1.0,0.2,1.0,,0.8,False,True,,1.0,"[26627, 4958, 42037, 16514, 10830]",,"[26627, 4958, 42037, 16514, 21018]",,4,0.34995257783520867,0,,,2025-09-29T00:37:06.818481,2
shuttle,33699,False,5,75.0,75.0,,proporcion,2d,1.0,0.0,1.0,,1.0,False,True,,1.0,"[15756, 23144, 42565, 37322, 21711]",,"[15756, 23144, 42565, 37322, 21711]",,4,0.3558182141076405,0,,,2025-09-29T00:37:06.818481,2
shuttle,34309,False,5,75.0,75.0,,proporcion,2d,1.0,0.2,1.0,,0.8,False,True,,1.0,"[46332, 36917, 16557, 36018, 30483]",,"[46332, 36917, 16557, 36018, 10856]",,4,0.1902811867249576,0,,,2025-09-29T00:37:06.818481,2
shuttle,36018,False,5,75.0,75.0,,proporcion,2d,1.0,0.0,1.0,,1.0,False,True,,1.0,"[16557, 36917, 10856, 34309, 46332]",,"[16557, 36917, 10856, 34309, 46332]",,4,0.1902811867249576,0,,,2025-09-29T00:37:06.818481,2
shuttle,36917,False,5,75.0,75.0,,proporcion,2d,1.0,0.0,1.0,,1.0,False,True,,1.0,"[16557, 36018, 34309, 46332, 10856]",,"[16557, 36018, 34309, 46332, 10856]",,4,0.13695105429483825,0,,,2025-09-29T00:37:06.818481,2
shuttle,37322,True,5,75.0,75.0,,proporcion,2d,1.0,0.4,1.0,,0.6,True,True,,1.0,"[42565, 23144, 15756, 19192, 12495]",,"[42565, 23144, 15756, 33699, 21711]",,4,0.29719396719742486,4137,0.6778650137518182,23144.0,2025-09-29T00:37:06.818481,2
shuttle,42037,False,5,75.0,75.0,,proporcion,2d,1.0,0.0,1.0,,1.0,False,True,,1.0,"[16514, 4958, 26627, 31905, 21018]",,"[16514, 4958, 26627, 31905, 21018]",,4,0.3031763377352987,0,,,2025-09-29T00:37:06.818481,2
shuttle,42381,False,5,75.0,75.0,,proporcion,2d,1.0,0.0,1.0,,1.0,False,True,,1.0,"[12871, 166, 7384, 18755, 2425]",,"[12871, 166, 7384, 18755, 2425]",,4,0.321911440322896,0,,,2025-09-29T00:37:06.818481,2
shuttle,42565,False,5,75.0,75.0,,proporcion,2d,1.0,0.2,1.0,,0.8,False,True,,1.0,"[23144, 37322, 15756, 33699, 19192]",,"[23144, 37322, 15756, 33699, 21711]",,4,0.30933772359194656,0,,,2025-09-29T00:37:06.818481,2
shuttle,44873,False,5,75.0,75.0,,proporcion,2d,1.0,0.0,1.0,,1.0,False,True,,1.0,"[12374, 26873, 45985, 31077, 21018]",,"[12374, 26873, 45985, 31077, 21018]",,4,0.7145515049915546,0,,,2025-09-29T00:37:06.818481,2
shuttle,45985,False,5,75.0,75.0,,proporcion,2d,1.0,0.0,1.0,,1.0,False,True,,1.0,"[12374, 31077, 21018, 44873, 26873]",,"[12374, 31077, 21018, 44873, 26873]",,4,0.5205393321061964,0,,,2025-09-29T00:37:06.818481,2
shuttle,46332,False,5,75.0,75.0,,proporcion,2d,1.0,0.2,1.0,,0.8,False,True,,1.0,"[34309, 36917, 16557, 30483, 36018]",,"[34309, 36917, 16557, 36018, 10856]",,4,0.19141241273798015,0,,,2025-09-29T00:37:06.818481,2
shuttle,39,True,5,75.0,75.0,,proporcion,2d,1.0,0.6,1.0,,0.4,True,True,,1.0,"[12321, 22400, 2805, 1053, 45584]",,"[12321, 1053, 242, 18502, 39918]",,4,0.2950330681849288,3171,0.411768110301053,12321.0,2025-09-29T00:37:14.559536,3
shuttle,242,False,5,75.0,75.0,,proporcion,2d,1.0,0.0,1.0,,1.0,False,True,,1.0,"[1053, 26095, 39, 12321, 44774]",,"[1053, 26095, 39, 12321, 44774]",,4,0.6285487104809355,0,,,2025-09-29T00:37:14.559536,3
shuttle,512,False,5,75.0,75.0,,proporcion,2d,1.0,0.0,1.0,,1.0,False,True,,1.0,"[19268, 24915, 15428, 28639, 29864]",,"[19268, 24915, 15428, 28639, 29864]",,4,0.30786059288862133,0,,,2025-09-29T00:37:14.559536,3
shuttle,603,False,5,75.0,75.0,,proporcion,2d,1.0,0.2,1.0,,0.8,False,True,,1.0,"[15088, 10823, 6579, 2188, 10348]",,"[15088, 10823, 2188, 10348, 23328]",,4,0.2822429609719192,0,,,2025-09-29T00:37:14.559536,3
shuttle,841,False,5,75.0,75.0,,proporcion,2d,1.0,0.0,1.0,,1.0,False,True,,1.0,"[22035, 42744, 27272, 28455, 42259]",,"[22035, 42744, 27272, 28455, 42259]",,4,0.44282964176203476,0,,,2025-09-29T00:37:14.559536,3
shuttle,1053,False,5,75.0,75.0,,proporcion,2d,1.0,0.2,1.0,,0.8,False,True,,1.0,"[242, 39, 12321, 26095, 22400]",,"[242, 39, 12321, 26095, 31684]",,4,0.4754298032796122,0,,,2025-09-29T00:37:14.559536,3
shuttle,1227,False,5,75.0,75.0,,proporcion,2d,1.0,0.2,1.0,,0.8,False,True,,1.0,"[20814, 35874, 26436, 13958, 29595]",,"[20814, 35874, 26436, 13958, 3723]",,4,0.4996172794074561,0,,,2025-09-29T00:37:14.559536,3
shuttle,1916,False,5,75.0,75.0,,proporcion,2d,1.0,0.0,1.0,,1.0,False,True,,1.0,"[40042, 8071, 7952, 18719, 17400]",,"[40042, 8071, 7952, 18719, 17400]",,4,0.3527995343257141,0,,,2025-09-29T00:37:14.559536,3
shuttle,2188,False,5,75.0,75.0,,proporcion,2d,1.0,0.0,1.0,,1.0,False,True,,1.0,"[10348, 23328, 10823, 15088, 31846]",,"[10348, 23328, 10823, 15088, 31846]",,4,0.21826153738924337,0,,,2025-09-29T00:37:14.559536,3
shuttle,2307,True,5,75.0,75.0,,proporcion,2d,1.0,0.6,1.0,,0.4,True,True,,1.0,"[24511, 41414, 5498, 14814, 19286]",,"[24511, 14814, 37068, 44888, 21202]",,4,0.29164811149338354,3250,0.3084641655968547,5498.0,2025-09-29T00:37:14.559536,3
shuttle,3134,False,5,75.0,75.0,,proporcion,2d,1.0,0.8,1.0,,0.2,False,True,,1.0,"[17400, 24289, 45844, 9848, 40994]",,"[17400, 8071, 40042, 17372, 27272]",,4,0.506192837045046,0,,,2025-09-29T00:37:14.559536,3
shuttle,3723,False,5,75.0,75.0,,proporcion,2d,1.0,0.0,1.0,,1.0,False,True,,1.0,"[13958, 35017, 35874, 45062, 25584]",,"[13958, 35017, 35874, 45062, 25584]",,4,0.34391865839957325,0,,,2025-09-29T00:37:14.559536,3
shuttle,4157,False,5,75.0,75.0,,proporcion,2d,1.0,1.0,0.0,,0.0,False,False,,1.0,"[41206, 16056, 7928, 26238, 10212]",,"[31846, 10348, 2188, 12958, 36401]",,4,1.877982678308528,0,,,2025-09-29T00:37:14.559536,3
shuttle,4577,False,5,75.0,75.0,,proporcion,2d,1.0,0.0,1.0,,1.0,False,True,,1.0,"[11166, 9702, 32894, 25853, 5933]",,"[11166, 9702, 32894, 25853, 5933]",,4,0.23825597421744532,0,,,2025-09-29T00:37:14.559536,3
shuttle,5933,False,5,75.0,75.0,,proporcion,2d,1.0,0.0,1.0,,1.0,False,True,,1.0,"[25853, 29446, 11166, 4577, 19108]",,"[25853, 29446, 11166, 4577, 19108]",,4,0.2420519743572598,0,,,2025-09-29T00:37:14.560530,3
shuttle,6895,False,5,75.0,75.0,,proporcion,2d,1.0,0.0,1.0,,1.0,False,True,,1.0,"[39564, 9032, 15934, 26135, 18284]",,"[39564, 9032, 15934, 26135, 18284]",,4,0.12251491555528635,0,,,2025-09-29T00:37:14.560530,3
shuttle,7058,False,5,75.0,75.0,,proporcion,2d,1.0,0.0,1.0,,1.0,False,True,,1.0,"[34623, 21170, 8603, 32232, 37236]",,"[34623, 21170, 8603, 32232, 37236]",,4,0.3996085058242497,0,,,2025-09-29T00:37:14.560530,3
shuttle,7762,False,5,75.0,75.0,,proporcion,2d,1.0,0.0,1.0,,1.0,False,True,,1.0,"[25584, 45062, 35017, 35238, 3723]",,"[25584, 45062, 35017, 35238, 3723]",,4,0.497983902288936,0,,,2025-09-29T00:37:14.560530,3
shuttle,7952,False,5,75.0,75.0,,proporcion,2d,1.0,0.0,1.0,,1.0,False,True,,1.0,"[18719, 1916, 33823, 40392, 40042]",,"[18719, 1916, 33823, 40392, 40042]",,4,0.2693100382389322,0,,,2025-09-29T00:37:14.560530,3
shuttle,7979,False,5,75.0,75.0,,proporcion,2d,1.0,0.8,1.0,,0.2,False,True,,1.0,"[12318, 4803, 32421, 11528, 9898]",,"[12318, 512, 28639, 24915, 15428]",,4,0.5772386116661653,0,,,2025-09-29T00:37:14.560530,3
shuttle,8071,False,5,75.0,75.0,,proporcion,2d,1.0,0.0,1.0,,1.0,False,True,,1.0,"[40042, 1916, 17400, 7952, 38131]",,"[40042, 1916, 17400, 7952, 38131]",,4,0.3699117505777386,0,,,2025-09-29T00:37:14.560530,3
shuttle,8603,False,5,75.0,75.0,,proporcion,2d,1.0,0.0,1.0,,1.0,False,True,,1.0,"[25943, 29029, 21170, 34623, 32232]",,"[25943, 29029, 21170, 34623, 32232]",,4,0.19028118672495747,0,,,2025-09-29T00:37:14.560530,3
shuttle,8834,False,5,75.0,75.0,,proporcion,2d,1.0,0.8,1.0,,0.2,False,True,,1.0,"[2723, 43253, 4222, 22455, 28919]",,"[28919, 43897, 21202, 44888, 14814]",,4,0.6436770474412643,0,,,2025-09-29T00:37:14.560530,3
shuttle,9032,False,5,75.0,75.0,,proporcion,2d,1.0,0.0,1.0,,1.0,False,True,,1.0,"[6895, 39564, 15934, 26135, 18284]",,"[6895, 39564, 15934, 26135, 18284]",,4,0.18803638290448202,0,,,2025-09-29T00:37:14.560530,3
shuttle,9442,True,5,75.0,75.0,,proporcion,2d,1.0,0.6,1.0,,0.4,True,True,,1.0,"[7071, 14495, 13737, 29864, 23001]",,"[29864, 23001, 40805, 28639, 512]",,4,0.45349604627109286,3257,0.4836043023722127,29864.0,2025-09-29T00:37:14.560530,3
shuttle,9702,False,5,75.0,75.0,,proporcion,2d,1.0,0.0,1.0,,1.0,False,True,,1.0,"[32894, 4577, 11166, 23816, 25853]",,"[32894, 4577, 11166, 23816, 25853]",,4,0.3280756504710073,0,,,2025-09-29T00:37:14.560530,3
shuttle,10348,False,5,75.0,75.0,,proporcion,2d,1.0,0.0,1.0,,1.0,False,True,,1.0,"[2188, 23328, 31846, 10823, 35361]",,"[2188, 23328, 31846, 10823, 35361]",,4,0.21286769763114466,0,,,2025-09-29T00:37:14.560530,3
shuttle,10823,False,5,75.0,75.0,,proporcion,2d,1.0,0.0,1.0,,1.0,False,True,,1.0,"[15088, 603, 2188, 10348, 23328]",,"[15088, 603, 2188, 10348, 23328]",,4,0.21286769763114466,0,,,2025-09-29T00:37:14.560530,3
shuttle,11166,False,5,75.0,75.0,,proporcion,2d,1.0,0.0,1.0,,1.0,False,True,,1.0,"[4577, 25853, 5933, 29446, 9702]",,"[4577, 25853, 5933, 29446, 9702]",,4,0.2392896684363438,0,,,2025-09-29T00:37:14.560530,3
shuttle,11251,False,5,75.0,75.0,,proporcion,2d,1.0,1.0,0.0,,0.0,False,False,,1.0,"[38722, 17669, 15384, 10502, 45671]",,"[4157, 2188, 10348, 15088, 603]",,4,5.2174930534858435,0,,,2025-09-29T00:37:14.560530,3
shuttle,12242,False,5,75.0,75.0,,proporcion,2d,1.0,0.0,1.0,,1.0,False,True,,1.0,"[41094, 16340, 36942, 23816, 16352]",,"[41094, 16340, 36942, 23816, 16352]",,4,0.3332928474051766,0,,,2025-09-29T00:37:14.560530,3
shuttle,12318,False,5,75.0,75.0,,proporcion,2d,1.0,0.8,1.0,,0.2,False,True,,1.0,"[4803, 32421, 11528, 7979, 9898]",,"[7979, 28639, 512, 40805, 29864]",,4,0.30786059288862144,0,,,2025-09-29T00:37:14.560530,3
shuttle,12321,False,5,75.0,75.0,,proporcion,2d,1.0,0.8,1.0,,0.2,False,True,,1.0,"[22400, 39, 2805, 45584, 14429]",,"[39, 1053, 39918, 242, 18502]",,4,0.2565504940738513,0,,,2025-09-29T00:37:14.560530,3
shuttle,12812,False,5,75.0,75.0,,proporcion,2d,1.0,1.0,0.0,,0.0,False,False,,1.0,"[27209, 25534, 18548, 45788, 26558]",,"[42495, 18012, 37498, 36993, 17767]",,4,2.424280084859684,0,,,2025-09-29T00:37:14.560530,3
shuttle,12958,False,5,75.0,75.0,,proporcion,2d,1.0,0.0,1.0,,1.0,False,True,,1.0,"[18012, 36993, 36401, 37498, 17767]",,"[18012, 36993, 36401, 37498, 17767]",,4,0.25015828883822505,0,,,2025-09-29T00:37:14.560530,3
shuttle,12959,False,5,75.0,75.0,,proporcion,2d,1.0,0.0,1.0,,1.0,False,True,,1.0,"[16505, 35041, 30645, 16457, 39843]",,"[16505, 35041, 30645, 16457, 39843]",,4,0.3490989324193469,0,,,2025-09-29T00:37:14.560530,3
shuttle,13179,False,5,75.0,75.0,,proporcion,2d,1.0,0.0,1.0,,1.0,False,True,,1.0,"[24014, 33708, 26660, 14385, 23310]",,"[24014, 33708, 26660, 14385, 23310]",,4,0.2870604342541608,0,,,2025-09-29T00:37:14.560530,3
shuttle,13813,False,5,75.0,75.0,,proporcion,2d,1.0,0.0,1.0,,1.0,False,True,,1.0,"[31037, 32230, 40655, 45881, 14965]",,"[31037, 32230, 40655, 45881, 14965]",,4,0.27700686438668753,0,,,2025-09-29T00:37:14.560530,3
shuttle,13958,False,5,75.0,75.0,,proporcion,2d,1.0,0.0,1.0,,1.0,False,True,,1.0,"[3723, 35874, 35017, 26436, 45062]",,"[3723, 35874, 35017, 26436, 45062]",,4,0.40506189390232433,0,,,2025-09-29T00:37:14.560530,3
shuttle,14385,False,5,75.0,75.0,,proporcion,2d,1.0,0.0,1.0,,1.0,False,True,,1.0,"[23310, 33708, 34213, 13179, 19108]",,"[23310, 33708, 34213, 13179, 19108]",,4,0.2870604342541608,0,,,2025-09-29T00:37:14.560530,3
shuttle,14531,False,5,75.0,75.0,,proporcion,2d,1.0,0.0,1.0,,1.0,False,True,,1.0,"[15953, 45881, 17610, 17796, 14965]",,"[15953, 45881, 17610, 17796, 14965]",,4,0.288473326164118,0,,,2025-09-29T00:37:14.560530,3
shuttle,14814,False,5,75.0,75.0,,proporcion,2d,1.0,0.0,1.0,,1.0,False,True,,1.0,"[44888, 2307, 24511, 28919, 37068]",,"[44888, 2307, 24511, 28919, 37068]",,4,0.4233083152218545,0,,,2025-09-29T00:37:14.560530,3
shuttle,14965,False,5,75.0,75.0,,proporcion,2d,1.0,0.0,1.0,,1.0,False,True,,1.0,"[17796, 40655, 32230, 29029, 25943]",,"[17796, 40655, 32230, 29029, 25943]",,4,0.16325982357460816,0,,,2025-09-29T00:37:14.560530,3
shuttle,15088,False,5,75.0,75.0,,proporcion,2d,1.0,0.2,1.0,,0.8,False,True,,1.0,"[603, 10823, 2188, 10348, 6579]",,"[603, 10823, 2188, 10348, 23328]",,4,0.26937801877754386,0,,,2025-09-29T00:37:14.560530,3
shuttle,15428,False,5,75.0,75.0,,proporcion,2d,1.0,0.0,1.0,,1.0,False,True,,1.0,"[24915, 19268, 512, 18506, 23001]",,"[24915, 19268, 512, 18506, 23001]",,4,0.2822055434812363,0,,,2025-09-29T00:37:14.560530,3
shuttle,15934,False,5,75.0,75.0,,proporcion,2d,1.0,0.0,1.0,,1.0,False,True,,1.0,"[26135, 39564, 6895, 18284, 9032]",,"[26135, 39564, 6895, 18284, 9032]",,4,0.1424223280553346,0,,,2025-09-29T00:37:14.560530,3
shuttle,15953,False,5,75.0,75.0,,proporcion,2d,1.0,0.0,1.0,,1.0,False,True,,1.0,"[14531, 25943, 29029, 8603, 17796]",,"[14531, 25943, 29029, 8603, 17796]",,4,0.308394511432926,0,,,2025-09-29T00:37:14.560530,3
shuttle,16340,False,5,75.0,75.0,,proporcion,2d,1.0,0.0,1.0,,1.0,False,True,,1.0,"[36942, 12242, 16352, 41094, 23816]",,"[36942, 12242, 16352, 41094, 23816]",,4,0.31195430954096104,0,,,2025-09-29T00:37:14.560530,3
shuttle,16352,False,5,75.0,75.0,,proporcion,2d,1.0,0.2,1.0,,0.8,False,True,,1.0,"[36942, 16340, 12242, 41094, 4614]",,"[36942, 16340, 12242, 41094, 23816]",,4,0.403805599222755,0,,,2025-09-29T00:37:14.560530,3
shuttle,16457,False,5,75.0,75.0,,proporcion,2d,1.0,0.0,1.0,,1.0,False,True,,1.0,"[18284, 35041, 26135, 15934, 16505]",,"[18284, 35041, 26135, 15934, 16505]",,4,0.2176529389103742,0,,,2025-09-29T00:37:14.560530,3
shuttle,16505,False,5,75.0,75.0,,proporcion,2d,1.0,0.0,1.0,,1.0,False,True,,1.0,"[12959, 35041, 16457, 30645, 18284]",,"[12959, 35041, 16457, 30645, 18284]",,4,0.3446634644928755,0,,,2025-09-29T00:37:14.560530,3
shuttle,17372,False,5,75.0,75.0,,proporcion,2d,1.0,0.0,1.0,,1.0,False,True,,1.0,"[36606, 30006, 38131, 42259, 30566]",,"[36606, 30006, 38131, 42259, 30566]",,4,0.2912618972558326,0,,,2025-09-29T00:37:14.560530,3
shuttle,17400,False,5,75.0,75.0,,proporcion,2d,1.0,0.0,1.0,,1.0,False,True,,1.0,"[8071, 3134, 40042, 1916, 17372]",,"[8071, 3134, 40042, 1916, 17372]",,4,0.3806539469474281,0,,,2025-09-29T00:37:14.560530,3
shuttle,17610,False,5,75.0,75.0,,proporcion,2d,1.0,0.0,1.0,,1.0,False,True,,1.0,"[17796, 14531, 14965, 40655, 32230]",,"[17796, 14531, 14965, 40655, 32230]",,4,0.2820319977295181,0,,,2025-09-29T00:37:14.560530,3
shuttle,17767,False,5,75.0,75.0,,proporcion,2d,1.0,0.0,1.0,,1.0,False,True,,1.0,"[31846, 36401, 37498, 23328, 36993]",,"[31846, 36401, 37498, 23328, 36993]",,4,0.20524039525908078,0,,,2025-09-29T00:37:14.560530,3
shuttle,17796,False,5,75.0,75.0,,proporcion,2d,1.0,0.0,1.0,,1.0,False,True,,1.0,"[14965, 40655, 32230, 29029, 25943]",,"[14965, 40655, 32230, 29029, 25943]",,4,0.14568380871883246,0,,,2025-09-29T00:37:14.560530,3
shuttle,18012,False,5,75.0,75.0,,proporcion,2d,1.0,0.0,1.0,,1.0,False,True,,1.0,"[12958, 36993, 37498, 36401, 20265]",,"[12958, 36993, 37498, 36401, 20265]",,4,0.25437179441734,0,,,2025-09-29T00:37:14.560530,3
shuttle,18284,False,5,75.0,75.0,,proporcion,2d,1.0,0.0,1.0,,1.0,False,True,,1.0,"[16457, 26135, 15934, 35041, 39564]",,"[16457, 26135, 15934, 35041, 39564]",,4,0.18190165278021758,0,,,2025-09-29T00:37:14.560530,3
shuttle,18502,True,5,75.0,75.0,,proporcion,2d,1.0,0.4,1.0,,0.6,True,True,,1.0,"[31684, 39918, 25622, 42815, 44774]",,"[31684, 39918, 44774, 39, 1053]",,4,0.5002734634440099,3277,0.6644126351508545,39918.0,2025-09-29T00:37:14.560530,3
shuttle,18506,False,5,75.0,75.0,,proporcion,2d,1.0,0.0,1.0,,1.0,False,True,,1.0,"[15428, 24915, 19268, 512, 23001]",,"[15428, 24915, 19268, 512, 23001]",,4,0.5279969280463133,0,,,2025-09-29T00:37:14.560530,3
